Supply and demand series;;;;;;;;;;;;;;;;;;;;;;
Argentina - Production;;;;;;;;;;;;;;;;;;;;;;
;Oil;Natural gas;Coal;Hydroenergy;Nuclear;Firewood;Sugarcane and products;"Other Primary
";Total Primaries;Electricity;LPG;Gasoline/alcohol;Kerosene/jet fuel;Diesel oil;Fuel oil;Coke;Charcoal;Gases;Other secondary;Non-energy;Total Secundaries;Total
;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal
1979;242789,99;111641,63;4289,27;11460,00;9629,78;5549,90;5369,99;6379,99;397110,56;32371,07;7297,37;54384,92;11826,04;69365,75;88599,80;591,59;2138,47;8438,85;6149,99;17540,00;298703,85;397110,56
1980;252809,99;119659,31;2300,98;16279,99;8369,55;6279,00;6730,00;6000,00;418428,84;34147,16;8796,53;61269,21;14099,41;76220,69;80561,42;401,20;2411,46;7905,89;6490,00;18130,00;310432,98;418428,84
1981;255340,00;120630,40;2939,95;15790,00;10359,81;5310,70;7510,00;7510,00;425390,85;33401,37;9185,05;63665,17;12432,10;77787,41;85692,02;27,20;1839,47;7438,61;6609,99;14719,99;312798,38;425390,85
1982;251960,00;133877,00;3038,48;18910,00;6689,90;5020,90;5410,00;6790,01;431696,29;34302,37;12277,90;62373,46;11278,21;77517,00;78320,27;938,39;1507,98;6259,74;7369,99;16769,99;308915,30;431696,29
1983;251999,99;145787,32;2867,38;19799,99;12099,80;5880,00;5780,01;7399,97;451614,45;36982,32;12348,96;62129,14;11668,57;77934,60;67216,33;768,39;1878,47;6368,56;7470,00;17039,99;301805,34;451614,45
1984;246370,27;161225,09;2997,18;21370,00;15060,45;6710,00;6070,00;7139,99;466942,99;38670,41;12707,05;60683,83;11503,16;79204,79;63326,71;1652,39;1878,47;6783,21;7180,01;13840,00;297430,04;466942,99
1985;236078,82;166030,72;2359,98;22200,00;18069,57;6610,00;5529,99;7050,00;463929,07;38961,27;12325,59;54825,17;11394,65;78969,90;59390,79;2311,98;1800,47;7783,17;7520,00;14599,99;289882,98;463929,07
1986;222828,24;167292,30;2147,58;22610,00;17959,77;4889,80;5369,40;7459,42;450556,52;42159,09;12277,44;54344,41;11484,36;76916,70;54529,88;1890,38;1442,98;7309,54;8050,63;15940,27;286345,67;450556,52
1987;219988,74;167259,10;2200,68;23560,00;19640,41;4979,50;5889,82;8129,73;451647,98;44819,16;11907,00;52716,51;10985,04;74880,89;52695,09;1509,59;1488,48;7981,56;7739,76;16889,53;283612,59;451647,98
1988;231187,77;197636,65;3020,78;16440,00;17110,05;6200,80;5519,28;6519,88;483635,22;45149,57;12771,36;53159,73;11079,72;78082,50;49980,15;2080,78;2170,97;8360,11;8490,56;15569,73;286895,17;483635,22
1989;236409,99;206177,22;3038,48;14310,00;14460,01;5710,90;4430,00;5730,23;490266,82;43742,09;13623,96;60428,63;11869,71;78109,22;47721,93;2631,58;1949,97;9257,25;9259,40;16220,61;294814,35;490266,82
1990;244384,15;185139,95;1933,87;19500,00;22519,94;8733,81;4420,00;7220,00;493851,72;42398,51;13703,22;65894,43;12177,82;81729,13;44885,65;1903,98;2028,56;8408,00;9449,53;15018,77;297597,60;493851,72
